epoch_number,train_acc,train_loss,combined_val_acc,combined_val_loss,clean_val_acc,clean_val_loss,triggered_val_acc,triggered_val_loss
0,82.77451405273219,0.5443744599056153,94.14198803895701,0.43405669377526634,95.76746037161291,0.14250316355408224,92.51651570630109,0.2915535302211841
1,95.75663645320108,0.13860410170980908,95.74573029325012,0.2825770944469806,97.41313852437484,0.09234120468185707,94.07832206212538,0.19023588976512354
2,96.89398432292964,0.09852876643133512,96.15542374159571,0.2402841975442942,97.71257629115576,0.0775802487503614,94.59827119203568,0.1627039487939328
3,97.64177319619051,0.07564069170382266,96.76849834868347,0.20415587153926507,97.81070741787568,0.06818675053015366,95.72628927949125,0.1359691210091114
4,97.95649167327936,0.06374522357658287,97.32651144513852,0.1669573658678973,98.13305712942643,0.05883248931004797,96.51996576085061,0.10812487655784934
5,98.34815455508999,0.05191860447367122,97.35434095377573,0.15856671965720784,98.32770732738274,0.05951116073295505,96.38097458016871,0.09905555892425279
6,98.56630584216825,0.044081654618348697,97.10626749284097,0.1576971068150414,98.13116809872432,0.06599491864778602,96.08136688695762,0.09170218816725537
7,98.8304392325118,0.036256649102229345,97.61286194058624,0.15738409530160286,98.56257751500436,0.05404997605890924,96.6631463661681,0.1033341192426936
8,98.96202705771445,0.031333908876997094,97.724848033509,0.16632603389063896,98.37929618482272,0.05925651190344911,97.07039988219528,0.10706952198718984
9,99.08039557453988,0.028063177605640303,97.5476125565108,0.19499030974395143,98.25345470767351,0.06598305068999719,96.84177040534809,0.12900725905395424
10,99.25126411704835,0.022546216173399317,97.32529016344247,0.18782544898378606,98.34538924743927,0.06524158292406415,96.30519107944568,0.12258386605972191
11,99.2997364845995,0.020578084885116543,97.26286147282718,0.20231689556948573,98.17072994132513,0.06623422268778596,96.35499300432923,0.13608267288169978
